profile_type	cluster_data	cluster_id	coefficient	pval	qval	signif_level	signif_fdr
speciation	combined	58	-6.58195161484247	0.172965907923569	0.202337477193609	No	No
speciation	combined	31	-4.37603597101896	0.000392564746596324	0.000624077289460823	Yes & Top 5% Coef.	Yes
speciation	combined	32	-4.25428431749142	0.00299907976063407	0.00432425453858866	Yes	Yes
speciation	combined	29	-3.86301737999669	4.49924030367921e-05	7.3408657586345e-05	Yes	Yes
speciation	combined	68	-3.47965405779987	0.182041282092799	0.209010360921362	No	No
speciation	combined	24	-1.82166948775797	0.191147299232899	0.215475137317086	No	No
speciation	combined	35	-0.91524529178925	0.546925653828156	0.574735432836367	No	No
speciation	combined	51	0.389375318173464	0.746411760892637	0.758648019267926	No	No
speciation	combined	55	0.583679398404148	0.777014829785718	0.777014829785718	No	No
speciation	combined	36	0.889886304605582	0.594567100465561	0.614386003814413	No	No
speciation	combined	37	0.893237649805569	0.520413360025212	0.556303936578675	No	No
speciation	combined	19	0.918101991133961	0.0555319098811676	0.0688595682526479	No	No
speciation	combined	23	1.05508648836398	0.310645206686318	0.343928621688423	No	No
speciation	combined	65	1.11956755841549	0.399732792269759	0.434797072293422	No	No
speciation	combined	18	1.47154512726933	0.162845186093182	0.194161568034178	No	No
speciation	combined	4	2.3036827767016	0.0154152252963741	0.020334978050536	Yes	Yes
speciation	combined	60	2.60178870011067	0.0686598509690198	0.0834688384329261	No	No
speciation	combined	11	2.82773661678831	0.000478957790328027	0.000742384575008442	Yes	Yes
speciation	combined	2	3.20960518509513	0.0220898340982906	0.0279504023284493	Yes	Yes
speciation	combined	1	4.30238763482934	0	0	Yes	Yes
speciation	combined	53	4.48191515511328	0.00203286971456185	0.00300090291197225	Yes	Yes
speciation	combined	12	4.56925466102371	0.0174193777626495	0.0225000296100889	Yes	Yes
speciation	combined	8	4.58704551745486	0.0073789565448118	0.0103976205858712	Yes	Yes
speciation	combined	66	4.94820365096631	0.0152845815197716	0.020334978050536	Yes	Yes
speciation	combined	13	5.2195628601765	3.44697955678708e-06	6.47614340972118e-06	Yes	Yes
speciation	combined	39	5.91725305766123	3.15795455787526e-05	5.29170763752071e-05	Yes	Yes
speciation	combined	6	6.03489214219449	1.83334019902004e-05	3.24763120969264e-05	Yes	Yes
speciation	combined	59	6.30106969461662	0.0134933417627554	0.0185908264286852	Yes	Yes
speciation	combined	62	6.35601898239694	1.27335138363494e-05	2.32199369956959e-05	Yes	Yes
speciation	combined	14	6.67706243285301	2.92032498183659e-09	6.24345340944374e-09	Yes	Yes
speciation	combined	28	7.3478201564119	2.31996477584318e-09	5.1370648607956e-09	Yes	Yes
speciation	combined	34	7.3578089731082	0.000957314803705533	0.0014476467763352	Yes	Yes
speciation	combined	25	7.4951601437638	7.51856776837201e-09	1.55383733879688e-08	Yes	Yes
speciation	combined	5	7.60662139627584	0	0	Yes	Yes
speciation	combined	50	8.10783330595969	2.78083635106841e-05	4.78921816017337e-05	Yes	Yes
speciation	combined	30	8.70274740178511	5.28648286479694e-07	1.05729657295939e-06	Yes	Yes
speciation	combined	41	8.72718034580576	0	0	Yes	Yes
speciation	combined	47	9.41405433121845	1.03564825093549e-06	2.00656848618752e-06	Yes	Yes
speciation	combined	3	9.62784450215196	0	0	Yes	Yes
speciation	combined	15	9.77935920556627	5.99520433297585e-15	1.48681067457801e-14	Yes	Yes
speciation	combined	48	10.659980466319	0	0	Yes	Yes
speciation	combined	52	10.7968673675767	2.57613930187972e-11	6.14310141217472e-11	Yes	Yes
speciation	combined	16	10.8516677368773	0	0	Yes	Yes
speciation	combined	22	11.3532798681166	0	0	Yes	Yes
speciation	combined	7	14.569122911605	1.11022302462516e-16	2.86807614694832e-16	Yes	Yes
speciation	combined	42	15.2450305681915	1.11022302462516e-16	2.86807614694832e-16	Yes	Yes
speciation	combined	38	16.3014430344911	6.19557738446019e-11	1.4226881401353e-10	Yes	Yes
speciation	combined	61	21.1588726317813	0	0	Yes	Yes
speciation	combined	57	22.2893407186422	0	0	Yes	Yes
speciation	combined	63	24.7434301828763	0	0	Yes	Yes
speciation	combined	45	24.9989245108421	0	0	Yes	Yes
speciation	combined	9	26.0682059000181	0	0	Yes	Yes
speciation	combined	20	26.4267908560933	0	0	Yes	Yes
speciation	combined	10	27.4313692608117	0	0	Yes	Yes
speciation	combined	43	27.5790567568786	0	0	Yes	Yes
speciation	combined	49	27.6161311719597	0	0	Yes	Yes
speciation	combined	54	28.3293767611585	0	0	Yes	Yes
speciation	combined	44	29.2093191709022	0	0	Yes & Top 10% Coef.	Yes
speciation	combined	33	31.4005866225478	0	0	Yes & Top 10% Coef.	Yes
speciation	combined	40	38.1680218159556	0	0	Yes & Top 5% Coef.	Yes
speciation	combined	27	40	0	0	Yes & Top 5% Coef.	Yes
