OG0000079	OG0000104	OG0000189	OG0000194	OG0000297	OG0000463	OG0000907	OG0000911	OG0001003	OG0001265	OG0001528	OG0001612	OG0001676	OG0001985	OG0002058	OG0002194	OG0002233	OG0002312	OG0002656	OG0002907	OG0004021	OG0004219	OG0005123	OG0005278	OG0006314	OG0006360	OG0006502	OG0006627	OG0006751	OG0006762	OG0007017	OG0007137	OG0007991	OG0008000	OG0008100	OG0008179	OG0008183	OG0008233	OG0008292	OG0008361	OG0008487	OG0008670	OG0008698	OG0008701	OG0008704	OG0008805	OG0008914	OG0008917	OG0008927	OG0009053	OG0009056	OG0009069	OG0009102	OG0009156	OG0009295	OG0009317	OG0009326	OG0009414	OG0009416	OG0009417	OG0009425	OG0009681	OG0009684	OG0009917	OG0009938	OG0009955	OG0010002	OG0010040	OG0010041	OG0010045	OG0010046	OG0010052	OG0010058	OG0010059	OG0010429	OG0010432	OG0010436	OG0010438	OG0010448	OG0010451	OG0010467	OG0010770	OG0010829	OG0010855	OG0010917	OG0010921	OG0011145	OG0011442	OG0011443	OG0011446	OG0011458	OG0011467	OG0011468	OG0011973	OG0012126	OG0012127	OG0012130	OG0012138	OG0012143	OG0012159	OG0012165	OG0012731	OG0012837	OG0013070	OG0013072	OG0013077	OG0013080	OG0013090	OG0013095	OG0013101	OG0013109	OG0013125	OG0013132	OG0013140	OG0013142	OG0013146	OG0014287	OG0014295	OG0014309	OG0014315	OG0014319	OG0014320	OG0014321	OG0014326	OG0014354	OG0014358	OG0014364	OG0014365	OG0014379	OG0014388	OG0014392	OG0014403	OG0015883	OG0015891	OG0015906	OG0015907	OG0015916	OG0015917	OG0015920	OG0015951	OG0015956	OG0015976	OG0015980	OG0015985	OG0016007	detection_suppression
3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2	12	23	10	0	3	1	2	1	3	2	1	1	1	2	1	6	0	3	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	1	0	0	0	3	0	0	0	6	1	5	0	0	1	6	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10	1	12	11	0	0	2	0	0	0	0	2	3	0	2	3	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	18	24	21	14	61	9	2	11	2	3	1	3	2	3	7	4	8	15	4	1	1	2	9	1	5	1	5	6	1	3	5	1	1	0	3	1	1	9	1	2	1	2	3	4	2	2	1	5	3	2	6	1	5	4	1	1	1	4	2	2	4	2	6	3	1	3	3	2	1	2	1	1	2	3	4	2	2	1	1	0	3	2	1	2	1	1	2	3	2	1	1	1	1	1	1	3	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23	5	6	17	7	24	3	3	1	10	0	3	3	4	3	6	2	0	0	7	0	3	1	3	1	4	1	2	6	1	0	6	1	2	1	3	1	1	2	0	1	1	1	0	2	8	0	1	2	2	1	1	4	7	2	3	1	2	2	8	0	0	1	1	3	2	1	3	0	5	1	1	4	6	3	1	2	1	3	1	3	1	0	2	1	3	0	1	1	2	3	2	3	2	1	1	2	4	0	1	1	1	0	2	1	3	1	1	2	1	1	1	0	3	2	1	1	1	1	1	1	2	2	0	0	1	2	0	2	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1
3	22	18	16	16	39	9	9	9	3	3	1	4	1	2	3	6	10	31	1	0	1	1	9	1	7	1	19	7	2	7	6	1	1	1	2	4	1	3	13	0	1	3	7	5	1	10	1	5	2	6	0	2	1	2	2	2	1	5	1	1	2	6	0	1	1	2	4	4	4	3	2	5	1	1	3	2	5	1	1	0	2	2	1	3	2	4	1	3	3	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37	6	11	8	6	0	7	7	8	0	2	3	3	2	2	5	7	6	0	10	19	1	0	2	1	2	1	1	1	1	16	0	0	2	2	4	1	0	0	1	4	1	2	4	0	0	1	1	0	0	0	0	1	1	0	0	0	2	0	1	1	1	1	1	1	0	1	0	2	0	2	0	0	1	0	0	1	0	0	1	1	0	3	1	0	1	1	1	1	0	1	1	0	1	1	2	0	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1
6	31	15	14	5	5	9	1	8	2	6	2	4	1	2	3	9	6	2	0	0	1	1	5	1	1	2	2	5	1	1	2	1	0	0	1	0	0	3	0	0	1	4	1	3	2	2	1	1	1	2	2	0	1	0	0	4	0	2	1	0	2	3	0	1	2	1	1	2	1	2	4	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	2	2	2	1	0	2	1	1	0	2	1	1	1	1	0	1	1	2	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1
2	28	18	17	20	4	10	11	10	1	11	2	3	1	1	7	5	8	1	1	1	2	1	6	1	2	1	2	4	1	1	6	1	0	1	6	3	1	1	0	0	1	5	2	3	0	1	1	3	1	2	1	2	0	0	1	2	0	1	1	1	4	0	2	0	1	3	1	2	1	2	4	1	1	3	2	2	2	5	0	0	2	0	2	3	2	1	1	1	1	1	2	2	1	3	1	1	1	2	1	2	2	0	1	1	1	1	2	1	1	1	2	1	1	1	1	0	1	1	2	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1
66	2	18	23	0	0	2	18	19	0	4	4	1	2	1	4	0	10	0	18	2	1	0	0	2	1	0	0	0	1	0	0	1	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
86	6	21	10	8	0	2	2	1	0	6	4	2	1	1	2	15	1	0	4	20	1	1	1	1	1	2	0	0	1	0	0	11	15	6	0	1	2	0	0	7	1	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1
20	11	13	22	13	1	1	1	0	6	4	2	2	1	1	1	2	0	0	0	0	2	1	2	1	0	1	0	0	1	0	2	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
