profile_type	cluster_data	gene_family_id	coefficient	pval	qval	signif_level	signif_fdr
speciation	combined	OG0003859	-0.200758746449751	0.636000221798074	0.774587485047475	No	No
speciation	combined	OG0003628	-0.175199373508254	0.427496467139647	0.573233899119072	No	No
speciation	combined	OG0003278	-0.0531244937313978	0.8306997339144	0.95571478744168	No	No
speciation	combined	OG0005494	-0.0308110580678536	0.850424175265902	0.95571478744168	No	No
speciation	combined	OG0000228	-0.0121508029337921	0.697722990600551	0.831629423140051	No	No
speciation	combined	OG0014057	-0.0108825103011389	0.967025799033847	0.986544433250705	No	No
speciation	combined	OG0003205	-0.00434331777867785	0.967669193918017	0.986544433250705	No	No
speciation	combined	OG0011334	-0.00372340965130273	0.986544433250705	0.986544433250705	No	No
speciation	combined	OG0002363	-0.00282623076133267	0.981523123958462	0.986544433250705	No	No
speciation	combined	OG0006436	-0.00164475945865094	0.985554665629882	0.986544433250705	No	No
speciation	combined	OG0004069	0.00126179000944087	0.985170258250147	0.986544433250705	No	No
speciation	combined	OG0002331	0.00436273934286657	0.970282263394779	0.986544433250705	No	No
speciation	combined	OG0007438	0.0202514468154921	0.885459474860225	0.976488019004734	No	No
speciation	combined	OG0011280	0.0291281904148965	0.906292936728039	0.981172598368705	No	No
speciation	combined	OG0007235	0.029707337110329	0.906337400188041	0.981172598368705	No	No
speciation	combined	OG0010827	0.0345291728521334	0.936403566023191	0.986544433250705	No	No
speciation	combined	OG0013940	0.036626554126985	0.915235161502679	0.981797718702874	No	No
speciation	combined	OG0006813	0.0379858227767605	0.843824942917537	0.95571478744168	No	No
speciation	combined	OG0006945	0.0392242103785393	0.866714173943115	0.964832759672524	No	No
speciation	combined	OG0000428	0.0483432156253774	0.520514983067605	0.66043836561266	No	No
speciation	combined	OG0011955	0.0496039528221484	0.837546596040017	0.95571478744168	No	No
speciation	combined	OG0002398	0.0497248944574448	0.802225158780624	0.937253155803105	No	No
speciation	combined	OG0010295	0.0500673908873234	0.789049385327556	0.931078274686516	No	No
speciation	combined	OG0008106	0.0652895040764289	0.636737169911908	0.774587485047475	No	No
speciation	combined	OG0006437	0.0698388598197722	0.452204808583608	0.592890749031841	No	No
speciation	combined	OG0001822	0.0716107445349381	0.600749864619031	0.746194568684691	No	No
speciation	combined	OG0000119	0.0922698542536857	0.110019065464112	0.493028086130928	No	No
speciation	combined	OG0000564	0.100118603781058	0.291909324933265	0.552162095303523	No	No
speciation	combined	OG0000951	0.104852496013905	0.276434073021185	0.552162095303523	No	No
speciation	combined	OG0000479	0.107098546877009	0.0946369902790085	0.493028086130928	No	No
speciation	combined	OG0004726	0.124643054284848	0.317086938674221	0.552162095303523	No	No
speciation	combined	OG0000231	0.128921049097402	0.0630903557051959	0.493028086130928	No	No
speciation	combined	OG0002109	0.18075247424291	0.498168843786618	0.638955690943705	No	No
speciation	combined	OG0001651	0.205027790704644	0.423486348050058	0.573233899119072	No	No
speciation	combined	OG0007509	0.209061744163439	0.654362671226782	0.787906073517962	No	No
speciation	combined	OG0005238	0.245045166346099	0.148758106446415	0.552162095303523	No	No
speciation	combined	OG0002063	0.247367192489112	0.0476224243303501	0.435230720230178	Yes	No
speciation	combined	OG0008800	0.278263583878274	0.312809523751202	0.552162095303523	No	No
speciation	combined	OG0009099	0.286309181268231	0.34239662429959	0.552162095303523	No	No
speciation	combined	OG0008810	0.310199365184349	0.305272261952876	0.552162095303523	No	No
speciation	combined	OG0000880	0.314007658706998	0.0119565331876935	0.410559692395605	Yes	No
speciation	combined	OG0010262	0.322606092821206	0.393064542419457	0.552162095303523	No	No
speciation	combined	OG0010715	0.323057671459438	0.387640279707233	0.552162095303523	No	No
speciation	combined	OG0009937	0.324834787604716	0.338819663697742	0.552162095303523	No	No
speciation	combined	OG0010836	0.326273321787622	0.442508094297258	0.58669612502333	No	No
speciation	combined	OG0010339	0.327020207332396	0.415563464861226	0.570191730856101	No	No
speciation	combined	OG0011209	0.342205190751966	0.560962154224954	0.70418653402707	No	No
speciation	combined	OG0011190	0.354213418661492	0.385531675767448	0.552162095303523	No	No
speciation	combined	OG0009881	0.362270791244166	0.480390373761005	0.622923781360424	No	No
speciation	combined	OG0003202	0.37863703019807	0.0784148904722632	0.493028086130928	No	No
speciation	combined	OG0010786	0.386250508792247	0.378886782876471	0.552162095303523	No	No
speciation	combined	OG0008847	0.388235778365828	0.251247694425476	0.552162095303523	No	No
speciation	combined	OG0010823	0.398218340205323	0.367960621982205	0.552162095303523	No	No
speciation	combined	OG0006994	0.413617521553746	0.0968847353223656	0.493028086130928	No	No
speciation	combined	OG0011331	0.41635121968161	0.379342008413382	0.552162095303523	No	No
speciation	combined	OG0011975	0.421677383875221	0.399555470143787	0.554677005611374	No	No
speciation	combined	OG0011928	0.434594120791599	0.358809895004165	0.552162095303523	No	No
speciation	combined	OG0011227	0.452916703312855	0.348168131174839	0.552162095303523	No	No
speciation	combined	OG0010227	0.458682066917966	0.308955548110938	0.552162095303523	No	No
speciation	combined	OG0003997	0.474853380301018	0.0298765993237195	0.410559692395605	Yes	No
speciation	combined	OG0011312	0.519110733715411	0.31678866893463	0.552162095303523	No	No
speciation	combined	OG0011316	0.528003065115274	0.355187313210392	0.552162095303523	No	No
speciation	combined	OG0011263	0.538876821805053	0.301360452682805	0.552162095303523	No	No
speciation	combined	OG0011309	0.539092597226974	0.30122911958493	0.552162095303523	No	No
speciation	combined	OG0009644	0.544389654653317	0.207229586039586	0.552162095303523	No	No
speciation	combined	OG0012754	0.553786890038179	0.390770466299475	0.552162095303523	No	No
speciation	combined	OG0012760	0.553786890038179	0.390770466299475	0.552162095303523	No	No
speciation	combined	OG0012884	0.554347938264955	0.390856969025668	0.552162095303523	No	No
speciation	combined	OG0012875	0.554809464606091	0.390021269244758	0.552162095303523	No	No
speciation	combined	OG0011954	0.556349695429981	0.332821725062419	0.552162095303523	No	No
speciation	combined	OG0012812	0.569601345497752	0.38096989283633	0.552162095303523	No	No
speciation	combined	OG0012714	0.570775294243369	0.380269924161679	0.552162095303523	No	No
speciation	combined	OG0011943	0.572779252339416	0.321755991496975	0.552162095303523	No	No
speciation	combined	OG0011993	0.573429073144664	0.322916461731146	0.552162095303523	No	No
speciation	combined	OG0011824	0.573431656344658	0.322913038547827	0.552162095303523	No	No
speciation	combined	OG0014032	0.578574589899688	0.374620702567154	0.552162095303523	No	No
speciation	combined	OG0012756	0.613304710679428	0.351866437368577	0.552162095303523	No	No
speciation	combined	OG0002504	0.624597707912173	0.0150443723303367	0.410559692395605	Yes	No
speciation	combined	OG0009049	0.629478262667928	0.116989715353102	0.493028086130928	No	No
speciation	combined	OG0012707	0.637305249973892	0.339076788017938	0.552162095303523	No	No
speciation	combined	OG0009042	0.647402741149053	0.17551671565996	0.552162095303523	No	No
speciation	combined	OG0009048	0.715796138780505	0.0910595062257031	0.493028086130928	No	No
speciation	combined	OG0009939	0.724972575232336	0.140909315558468	0.552162095303523	No	No
speciation	combined	OG0009581	0.77898536208897	0.102769904605337	0.493028086130928	No	No
speciation	combined	OG0013823	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013833	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013850	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013852	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013868	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013870	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013881	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013894	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013898	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013976	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013982	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0013983	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0014010	0.791674052633474	0.332502556880746	0.552162095303523	No	No
speciation	combined	OG0014050	0.791674052633474	0.332502556880746	0.552162095303523	No	No
