OG0000219	OG0000685	OG0000977	OG0001333	OG0001349	OG0002230	OG0002319	OG0002472	OG0003054	OG0003473	OG0003550	OG0003781	OG0004056	OG0005844	OG0005867	OG0006110	OG0006172	OG0006173	OG0006457	OG0006482	OG0006516	OG0006603	OG0006616	OG0006662	OG0006826	OG0006956	OG0006973	OG0006987	OG0007223	OG0007361	OG0007370	OG0007432	OG0007469	OG0007519	OG0007629	OG0007987	OG0007999	OG0008071	OG0008124	OG0008294	OG0008301	OG0008410	OG0008471	OG0008627	OG0008655	OG0008658	OG0008814	OG0008838	OG0008853	OG0009050	OG0009120	OG0009267	OG0009296	OG0009315	OG0009350	OG0009365	OG0009373	OG0009380	OG0009387	OG0009518	OG0009641	OG0009863	OG0009900	OG0009909	OG0009942	OG0009961	OG0009967	OG0009978	OG0009989	OG0010090	OG0010092	OG0010254	OG0010336	OG0010351	OG0010440	OG0010691	OG0010718	OG0010753	OG0010766	OG0010774	OG0010809	OG0011182	OG0011221	OG0011278	OG0011339	OG0011344	OG0011353	OG0011461	OG0011823	OG0011843	OG0011892	OG0011897	OG0011903	OG0011909	OG0011996	OG0011999	OG0012733	OG0012873	OG0013104	OG0013135	OG0013160	detection_suppression
0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	3	0	0	0	4	0	2	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	2	2	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	2	2	0	0	3	1	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	1	0	0	1	0	4	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
18	1	0	15	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12	0	0	0	1	0	7	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
4	6	4	16	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1
