Orthogroup	1	2	3	4	5	6	7	8	9	10
OG0000000	GO:0003676; GO:0003887; GO:0015074; GO:0042575 (18)	GO:0071897 (18)	GO:0003676; GO:0015074 (7)	GO:0003676; GO:0003887; GO:0015074; GO:0016020; GO:0042575 (4)	GO:0003676; GO:0003887; GO:0008270; GO:0015074; GO:0042575 (4)	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0006508; GO:0015074; GO:0042575 (3)	GO:0003676; GO:0015074; GO:0016020 (3)	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0006508; GO:0008270; GO:0015074; GO:0016020; GO:0042575 (2)	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0006508; GO:0008270; GO:0015074; GO:0042575 (2)	GO:0004190; GO:0006508 (1)
OG0000001	GO:0000978; GO:0003700; GO:0006357 (2)	GO:0046872 (1)	GO:0000978; GO:0000981; GO:0006355 (1)	GO:0000978; GO:0000981; GO:0006357 (1)						
OG0000002	GO:0005524; GO:0016020; GO:0016887; GO:0140359 (23)	GO:0005524; GO:0016020; GO:0016887; GO:0032440; GO:0042626; GO:0055085; GO:0140359 (11)	GO:0005524; GO:0016020; GO:0140359 (10)	GO:0005524; GO:0005886; GO:0016887; GO:0140359 (6)	GO:0005524; GO:0016020; GO:0016887; GO:0042626; GO:0055085; GO:0140359 (6)	GO:0005524 (3)	GO:0005524; GO:0016020; GO:0032440; GO:0042626; GO:0055085; GO:0140359 (3)	GO:0005524; GO:0016020; GO:0016787; GO:0042626; GO:0055085; GO:0140359 (3)	GO:0005524; GO:0016020 (2)	GO:0005524; GO:0005886; GO:0016020; GO:0016887; GO:0032440; GO:0042626; GO:0055085; GO:0140359 (2)
OG0000003	GO:0008146 (4)	GO:0004027; GO:0005737; GO:0008146; GO:0051923 (4)	GO:0004497; GO:0005506; GO:0005789; GO:0008146; GO:0016705; GO:0020037 (1)	GO:0004304; GO:0005737; GO:0008146; GO:0051923 (1)						
OG0000004	GO:0009653; GO:0016020; GO:0030154 (14)	GO:0005886; GO:0007155; GO:0007411 (13)	GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632 (5)	GO:0016020 (4)	GO:0009653; GO:0030154 (3)	GO:0005886; GO:0098609 (1)	GO:0005886; GO:0007155; GO:0007411; GO:0008152; GO:0016162 (1)			
OG0000005	GO:0000981; GO:0003677; GO:0005634 (100)	GO:0000981; GO:0003677; GO:0004000; GO:0005634; GO:0046936 (11)	GO:0003677; GO:0005634 (8)	GO:0000981; GO:0003677; GO:0005634; GO:0021520 (5)	GO:0003677; GO:0003700; GO:0005634 (4)	GO:0000981; GO:0005634; GO:0043565 (3)	GO:0000981; GO:0003677; GO:0005634; GO:0016020 (3)	GO:0003677; GO:0005634; GO:0021520 (2)	GO:0000978; GO:0000981; GO:0004000; GO:0005634; GO:0006357; GO:0046936 (2)	GO:0000981; GO:0003677; GO:0005634; GO:0007399; GO:0030154 (1)
OG0000006	GO:0004104; GO:0042135 (29)	GO:0003990; GO:0042135 (23)	GO:0052689 (18)	GO:0003990; GO:0005615; GO:0005886; GO:0006581; GO:0019695 (18)	GO:0004104; GO:0016020; GO:0042135 (5)	GO:0016020; GO:0052689 (4)	GO:0003990; GO:0016020; GO:0042135 (3)	GO:0004104; GO:0042135; GO:0050660 (1)		
OG0000007	GO:0004252; GO:0006508 (32)	GO:0004252; GO:0005576; GO:0006508 (11)	GO:0004252; GO:0006508; GO:0016020 (2)	GO:0004222; GO:0004252; GO:0006508 (1)	GO:0004252; GO:0005615; GO:0006508 (1)	GO:0004252; GO:0005634; GO:0005839; GO:0051603 (1)				
OG0000008	GO:0003677; GO:0005634 (1)	GO:0003676 (1)	GO:0003677 (1)							
OG0000009	GO:0006633; GO:0009922; GO:0016020; GO:0102756 (99)	GO:0006633; GO:0009922; GO:0016020 (49)	GO:0009922; GO:0016020; GO:0019367; GO:0030148; GO:0034625; GO:0034626; GO:0042761; GO:0102756 (47)	GO:0004252; GO:0006508; GO:0006633; GO:0009922; GO:0016020 (1)	GO:0016020; GO:0102756 (1)					
