cluster	model	profile_type	orthogroup	signif_level	signif_fdr	coefficient	pval	species	locus_tag	Length	egg_Description	KO	KO_definition	deepsig_feature	deepsig_start	deepsig_end	gene	expression
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-121019-1.1	180	Pogo transposable element with KRAB domain	K22594	pogo transposable element with ZNF domain	Chain	1	180	evm.contig-121019-1.1	1
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-12946-1.3	303	Pogo transposable element with KRAB domain	K22594;K11496	pogo transposable element with ZNF domain;centromere protein B	Chain	1	303	evm.contig-12946-1.3	1
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-158724-1.2	197	pogo transposable element with KRAB domain	K22594;K11496	pogo transposable element with ZNF domain;centromere protein B	Chain	1	197	evm.contig-158724-1.2	1
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-176693-1.2	250	Pogo transposable element with KRAB domain	K22594;K11496	pogo transposable element with ZNF domain;centromere protein B	Chain	1	250	evm.contig-176693-1.2	0
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-226548-1.2	274	Pogo transposable element with KRAB domain	K22594	pogo transposable element with ZNF domain	Chain	1	274	evm.contig-226548-1.2	1
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-235341-1.1	369	pogo transposable element with KRAB domain	K22594;K11496;K07483;K07499	pogo transposable element with ZNF domain;centromere protein B;transposase;putative transposase	Chain	1	369	evm.contig-235341-1.1	1
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-28159-1.8	289	Belongs to the helicase family	K11496;K22594;K05090;K08384;K00059	centromere protein B;pogo transposable element with ZNF domain;macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1];stage V sporulation protein D (sporulation-specific penicillin-binding protein);3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	Chain	1	289	evm.contig-28159-1.8	1
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-62874-1.1	105	pogo transposable element with KRAB domain	NA	NA	Chain	1	105	evm.contig-62874-1.1	0
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-75192-1.1	158	Pogo transposable element with KRAB domain	K22594	pogo transposable element with ZNF domain	Chain	1	158	evm.contig-75192-1.1	0
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-95577-1.3	355	pogo transposable element with KRAB domain	K22594;K11496;K08384;K05090;K10780	pogo transposable element with ZNF domain;centromere protein B;stage V sporulation protein D (sporulation-specific penicillin-binding protein);macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1];enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]	Chain	1	355	evm.contig-95577-1.3	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-118081-1.2	222	NA	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	222	evm.contig-118081-1.2	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-118082-1.1	338	heme binding. It is involved in the biological process described with oxidation-reduction process	K01832;K07424;K14999;K15003;K15001	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 4 [EC:1.14.-.-]	Chain	1	338	evm.contig-118082-1.1	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-158842-1.2	363	Belongs to the cytochrome P450 family	K01832;K07424;K14999;K15003;K17861	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 13	Chain	1	363	evm.contig-158842-1.2	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-159274-1.1	432	heme binding	K01832;K07424;K14999;K17689;K15003	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-];cytochrome P450 family 9 [EC:1.14.-.-]	Chain	1	432	evm.contig-159274-1.1	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-17115-1.1	139	NA	K01832;K07424;K14999;K17689;K17691	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-];cytochrome P450 family 3 subfamily A7 [EC:1.14.14.1]	Chain	1	139	evm.contig-17115-1.1	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-18376-1.3	443	heme binding	K01832;K07424;K14999;K15003;K07427	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79]	Chain	1	443	evm.contig-18376-1.3	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-18376-1.4	288	cytochrome P450	K01832;K07424;K14999;K15001;K07427	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 4 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79]	Chain	1	288	evm.contig-18376-1.4	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-187904-1.3	381	heme binding	K01832;K14999;K07424;K17689;K15001	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-];cytochrome P450 family 4 [EC:1.14.-.-]	Chain	1	381	evm.contig-187904-1.3	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-187911-1.1	135	NA	K01832;K07424;K14999;K07427;K15001	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79];cytochrome P450 family 4 [EC:1.14.-.-]	Chain	1	135	evm.contig-187911-1.1	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-199943-1.1	233	heme binding. It is involved in the biological process described with oxidation-reduction process	K01832;K07424;K14999;K07427;K15003	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79];cytochrome P450 family 9 [EC:1.14.-.-]	Chain	1	233	evm.contig-199943-1.1	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-199943-1.2	517	heme binding	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	517	evm.contig-199943-1.2	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-203899-1.1	298	cytochrome P450	K01832;K07424;K14999;K17861;K15003	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 13;cytochrome P450 family 9 [EC:1.14.-.-]	Chain	1	298	evm.contig-203899-1.1	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-203905-1.1	513	Cytochrome p450	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	513	evm.contig-203905-1.1	1
