cluster	model	profile_type	orthogroup	signif_level	signif_fdr	coefficient	pval	species	locus_tag	Length	egg_Description	KO	KO_definition	deepsig_feature	deepsig_start	deepsig_end
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-121019-1.1	180	Pogo transposable element with KRAB domain	K22594	pogo transposable element with ZNF domain	Chain	1	180
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-12946-1.3	303	Pogo transposable element with KRAB domain	K22594;K11496	pogo transposable element with ZNF domain;centromere protein B	Chain	1	303
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-158724-1.2	197	pogo transposable element with KRAB domain	K22594;K11496	pogo transposable element with ZNF domain;centromere protein B	Chain	1	197
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-176693-1.2	250	Pogo transposable element with KRAB domain	K22594;K11496	pogo transposable element with ZNF domain;centromere protein B	Chain	1	250
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-226548-1.2	274	Pogo transposable element with KRAB domain	K22594	pogo transposable element with ZNF domain	Chain	1	274
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-235341-1.1	369	pogo transposable element with KRAB domain	K22594;K11496;K07483;K07499	pogo transposable element with ZNF domain;centromere protein B;transposase;putative transposase	Chain	1	369
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-28159-1.8	289	Belongs to the helicase family	K11496;K22594;K05090;K08384;K00059	centromere protein B;pogo transposable element with ZNF domain;macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1];stage V sporulation protein D (sporulation-specific penicillin-binding protein);3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	Chain	1	289
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-62874-1.1	105	pogo transposable element with KRAB domain	NA	NA	Chain	1	105
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-75192-1.1	158	Pogo transposable element with KRAB domain	K22594	pogo transposable element with ZNF domain	Chain	1	158
cluster_27	speciation	speciation	OG0000079	Yes	No	0.0829062617581106	0.033183273526961	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-95577-1.3	355	pogo transposable element with KRAB domain	K22594;K11496;K08384;K05090;K10780	pogo transposable element with ZNF domain;centromere protein B;stage V sporulation protein D (sporulation-specific penicillin-binding protein);macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1];enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]	Chain	1	355
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-118081-1.2	222	NA	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	222
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-118082-1.1	338	heme binding. It is involved in the biological process described with oxidation-reduction process	K01832;K07424;K14999;K15003;K15001	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 4 [EC:1.14.-.-]	Chain	1	338
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-158842-1.2	363	Belongs to the cytochrome P450 family	K01832;K07424;K14999;K15003;K17861	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 13	Chain	1	363
