X1,X2,leiden_cluster_id,walktrap6_cluster_id,infomap_cluster_id,walktrap4_cluster_id,walktrap2_cluster_id,protein_name,best_gos,second_best_gos
OG0000017,-6.10300903990148,-6.2762346327575,1,339,1,544,909,Serpin domain-containing protein,GO:0004867; GO:0005615; GO:0010466 (491),GO:0004674; GO:0004867; GO:0005615; GO:0010466 (263)
OG0000018,-5.27192431166052,6.04108619091194,2,340,2,545,910,Cuticle protein, putative,GO:0008010; GO:0062129 (578),GO:0042302 (170)
OG0000019,-4.85692387297033,-13.2894964278014,3,341,3,546,911,ABC transporter domain-containing protein,GO:0005524; GO:0016020; GO:0016887; GO:0140359 (294),GO:0005319; GO:0005524; GO:0006869; GO:0016020; GO:0016887; GO:0042626; GO:0043231; GO:0140359 (291)
OG0000023,-4.08703547193884,-5.46364808681328,4,342,4,547,912,Cytochrome P450, putative,GO:0005506; GO:0020037; GO:0070330 (213),GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (141)
OG0000025,-4.03846913053869,-6.0353407919677,4,343,5,548,913,Organic cation transporter protein-like protein,GO:0016020; GO:0022857 (604),GO:0016020 (78)
OG0000026,-4.67120319082617,-3.64850700500329,4,344,6,549,914,Neurotransmitter-gated ion-channel-like protein,GO:0004888; GO:0005230; GO:0005254; GO:0005886 (140),GO:0004888; GO:0005254; GO:0005886; GO:0043005; GO:0045202; GO:1902476; GO:1904315 (137)
OG0000027,-2.557239884876,-7.61243534686883,5,345,7,550,915,Arylsulfatase B, putative,GO:0003943 (403),GO:0003943; GO:0016020 (188)
OG0000028,-7.0607884474027,-4.88804269435723,4,122,8,551,916,Transporter,GO:0015293; GO:0016020 (355),GO:0015187; GO:0015293; GO:0016020; GO:0035725 (127)
OG0000029,-2.75054209902166,-7.2086920798095,5,346,7,552,917,Monocarboxylate transporter, putative,GO:0008028; GO:0016020 (414),GO:0016020 (186)
OG0000030,-4.30477004721044,-6.77970076206048,6,347,9,553,918,Excitatory amino acid transporter, putative,GO:0004970; GO:0005886; GO:0008066; GO:0035249; GO:0050804; GO:0098839; GO:1904315 (245),GO:0004970; GO:0045211 (205)
OG0000031,-4.26863151266455,-6.62091017368157,4,348,10,554,919,Nose resistant-to-fluoxetine protein N-terminal domain-containing protein,GO:0016020; GO:0016747 (564),GO:0016020 (74)
OG0000032,-9.75143747999548,9.31037425396125,6,349,11,555,920,Aryl-alcohol oxidase, putative,GO:0016614; GO:0050660 (318),GO:0016491; GO:0016614; GO:0050660 (293)
OG0000034,-0.53071516229986,-4.15057069661935,7,350,12,556,921,Acid methyltransferase, putative,GO:0004395; GO:0005739; GO:0006744; GO:0032259 (538),GO:0003824 (65)
OG0000036,1.77974385545374,-7.24103975894768,8,351,13,557,922,Nose resistant to fluoxetine protein 6-like,GO:0016020; GO:0016747 (575),GO:0016020 (11)
OG0000037,-1.89151947795628,0.321481460305856,4,352,14,558,923,THAP-type domain-containing protein,GO:0043565 (581),NA
