X1,X2,leiden_cluster_id,walktrap6_cluster_id,walktrap4_cluster_id,infomap_cluster_id,walktrap2_cluster_id,protein_name,best_gos,second_best_gos
OG0000017,-16.0576957132653,-7.41079852096516,1,260,629,1,854,Serpin domain-containing protein,GO:0004867; GO:0005615; GO:0010466 (491),GO:0004674; GO:0004867; GO:0005615; GO:0010466 (263)
OG0000018,-11.9427150156334,4.51999047287029,2,434,630,2,855,Cuticle protein, putative,GO:0008010; GO:0062129 (578),GO:0042302 (170)
OG0000019,1.84574124552456,-8.35084197036702,3,435,631,3,856,ABC transporter domain-containing protein,GO:0005524; GO:0016020; GO:0016887; GO:0140359 (294),GO:0005319; GO:0005524; GO:0006869; GO:0016020; GO:0016887; GO:0042626; GO:0043231; GO:0140359 (291)
OG0000023,-11.77033552192,4.72307446487468,2,436,632,4,857,Cytochrome P450, putative,GO:0005506; GO:0020037; GO:0070330 (213),GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (141)
OG0000025,-7.11315568946155,5.92016175277751,4,437,633,5,858,Organic cation transporter protein-like protein,GO:0016020; GO:0022857 (604),GO:0016020 (78)
OG0000026,2.45495704151837,6.5666280079655,5,438,634,6,859,Neurotransmitter-gated ion-channel-like protein,GO:0004888; GO:0005230; GO:0005254; GO:0005886 (140),GO:0004888; GO:0005254; GO:0005886; GO:0043005; GO:0045202; GO:1902476; GO:1904315 (137)
OG0000027,-3.40725978873523,-3.99927482120473,6,2,635,7,860,Arylsulfatase B, putative,GO:0003943 (403),GO:0003943; GO:0016020 (188)
OG0000028,2.18467018343655,2.89362910278362,7,3,636,8,861,Transporter,GO:0015293; GO:0016020 (355),GO:0015187; GO:0015293; GO:0016020; GO:0035725 (127)
OG0000029,1.49149576164929,11.1352801609806,8,120,637,9,862,Monocarboxylate transporter, putative,GO:0008028; GO:0016020 (414),GO:0016020 (186)
OG0000030,-18.578609791024,-7.98726031295735,9,149,638,10,863,Excitatory amino acid transporter, putative,GO:0004970; GO:0005886; GO:0008066; GO:0035249; GO:0050804; GO:0098839; GO:1904315 (245),GO:0004970; GO:0045211 (205)
OG0000031,-12.4251044657067,-0.15971967689473,10,165,639,11,864,Nose resistant-to-fluoxetine protein N-terminal domain-containing protein,GO:0016020; GO:0016747 (564),GO:0016020 (74)
OG0000032,2.69445215501038,6.23355916030925,11,49,640,12,865,Aryl-alcohol oxidase, putative,GO:0016614; GO:0050660 (318),GO:0016491; GO:0016614; GO:0050660 (293)
